Content,Engagement standardized,Engagement(1/alpha),Pleasantness standardized,Attention standardized,Engagement standardized_ad,Pleasantness standardized_ad,Attention standardized_ad,FAA standardized_ad,Gender,Unaided Recall,VOLTI,BRAND,PERSON SHOWN,CELEBRITY PRESENT,CHILDREN,GROUP OF PEOPLE,ANIMAL,STORYTELLING,DYNAMISM,NUTRITION,PRINCIPAL CHARACTER IS FEMALE,CELEBRITY_PRESENT_STATIC,CHILDREN_STATIC,ANIMAL_STATIC,FAMIGLIA E AMICI,ANIMATED,luminance,saturation,hue,contrast,num_edges,symmetry,feature_complexity,entropy,colorfulness,hog_features,texture_contrast,motion_video,volume_dbfs,diff_percent,Age,Age Group,GSR_standardized_all,FAA_sign_GSR_standardized,Pleasantness_sign_GSR_standardized,FAA_sign,Pleasantness_sign,Mean ISC,Alpha_ISC,Beta_ISC,Gamma_ISC,Theta_ISC,Delta_ISC,Position,First_Brand,BRAND_X_ENGAGEMENT,BRAND_X_ATTENTION,BRAND_X_PLEASANTNESS,BRAND_X_GSR,BRAND_X_FAA,BRAND_X_ENGAGEMENT(1/alpha),Gender_Femmina,Device_Smartphone,Device_TV
CHANEL,-0.35812263668200595,-0.9433934426229507,0.1636364730026876,0.05968079388092968,-0.4590420237900774,0.17796048018404312,0.1035257590837656,0.12888920773443313,Femmina,0,0.5901639344262295,0.08196721311475409,0.8852459016393442,0.47540983606557374,0.01639344262295082,0.3770491803278688,0.01639344262295082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9518002777418425,-0.1371256685065588,0.02986894122716532,-0.3463141533707694,-0.45601102421863887,-0.003395454906443353,-0.3572044861975929,-0.4228458667817524,-0.8151803677993865,-0.39147313125005584,-0.2447247864695239,0.47326583062006644,0.5731111763911627,0.04750458151101388,51,35-54,2.1286216968307765,-1.2515938896255983,-1.1703096135171325,-0.5737704918032787,-0.5409836065573771,0.4799627345108227,0.4076659722517506,0.7235108562918314,0.8051962155697638,0.2940035316874285,0.1694370967533394,2.0,0.0,-0.04841829058912605,0.020282732249633072,0.006852924059108179,0.1657443870743781,-0.04918032786885246,0.029229508196721345,1,0,1
FASTWEB,0.6782918740170693,0.32580645161290334,0.07790069648120292,-0.5365330860194047,0.2868361220441077,0.10072948584724108,-0.5685395841914517,0.14706607279739525,Femmina,1,0.7096774193548387,0.0967741935483871,0.9354838709677419,0.45161290322580644,0.03225806451612903,0.4838709677419355,0.03225806451612903,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.04594508500214829,1.259919252186305,0.26022200566341186,0.36739770129303345,0.13359022032340576,-0.02604704923106259,-0.16605359983019324,0.14714533163216595,0.041605254820825145,-0.1298464381300677,0.11518206240907346,0.2957116379153113,3.6087291517212825,-0.13287699953647444,51,35-54,-0.8475461124410617,0.5183842084191131,0.5733102988418398,-0.6129032258064516,-0.6774193548387096,0.5413173538042443,0.4847530984006041,0.8468532653044096,0.9115904708289242,0.2389020967730965,0.2244878377141872,5.0,0.0,-0.001881639816917533,0.03696894688431058,0.0511888664969831,-0.08231020736235536,0.03225806451612903,-0.2056451612903226,1,0,1
MUTTI,0.42924890092649826,-1.9770645161290321,-0.04009630387905882,0.24362047558187278,0.013369123381369608,-0.005562496757002947,0.31086659681290946,0.022412671853754163,Femmina,1,0.5483870967741935,0.12903225806451613,0.6129032258064516,0.3870967741935484,0.0,0.45161290322580644,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5491790305805055,-0.2730659000879696,-0.09877565916449443,0.1928381336511405,-0.2982873183148386,-0.24936826322521113,0.008138106516470844,0.3442482816086772,-0.37644217924819945,0.19660742567279368,-0.4515751286460633,1.6458171095377123,0.09971520861558626,0.1262589816939345,51,35-54,2.286264575651989,-1.1068528330570133,-1.1019000797392633,-0.4838709677419355,-0.4838709677419355,0.5469831398184316,0.4782479966822387,0.7151815742691883,0.6915891014090316,0.4803099779253743,0.369587048806324,1.0,0.0,-0.0823316989192419,0.02892734989600444,-0.10862129454850933,0.31615865626551654,-0.12903225806451613,-0.4281935483870968,1,0,1
LETE,-0.866380789357686,-4.844193548387097,0.4704384417914319,1.160273971455828,-0.42669697069496443,0.3845389534939077,0.6626341335951189,0.22904703569453777,Maschio,1,0.06451612903225806,0.25806451612903225,0.7419354838709677,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6490051971432618,-1.0304638142041562,2.4861325508397303,0.11400478052254362,-0.2913543649698494,0.33210612903221964,-0.6067197886768898,-0.07972385440274783,1.9822648666715905,-0.36695752747142635,-0.4578990046717089,0.05928161135393393,1.305328317064901,-0.16614418254155713,59,55+,0.40569180283123946,-0.16919411045309887,-0.12065409111366392,-0.4838709677419355,-0.2903225806451613,0.6437521063873125,0.5293098444811356,0.8420104888135066,0.8731319896829394,0.650912670870401,0.3233955380885792,4.0,0.0,-0.276385324297104,0.43491575088193163,0.04086711738741761,0.10218407638019106,-0.06451612903225806,-1.891225806451613,0,0,0
ORASI,0.8651047447491368,3.1744838709677423,-0.28032635767781794,-0.10934560118360301,0.5697178725634929,0.12440393270359508,-0.6447024035306498,0.2476527501233155,Femmina,0,0.5806451612903226,0.8064516129032258,0.7096774193548387,0.1935483870967742,0.03225806451612903,0.16129032258064516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7997831988482689,0.4554605179929626,-0.6027570052226588,0.4265227161394811,1.9311543894470922,0.13498915988630455,0.6735898241523289,0.10378367872330095,0.2480835939300097,-0.049750120356210535,0.981812806646621,1.0783928863202177,0.4978881950584905,-0.1089309187201599,21,18-34,-1.1173297409181542,0.3156079294097633,0.38555537413968904,-0.2903225806451613,-0.3548387096774194,0.1941882685753565,0.1988942750276526,0.1162453351547971,0.1468271722324396,0.0277523613679692,0.4812221990939238,2.0,1.0,0.6899735587753214,-0.06465451639120261,-0.22471142202921288,-0.9094649772027362,-0.22580645161290322,2.6858064516129034,1,1,0
ALFA ROMEO,-0.9030151839148107,-3.8598032786885246,-0.14517714830386674,1.0481889226040453,-0.3377318704845039,0.14802360802490186,0.2110230549482362,0.23437550383395864,Femmina,1,0.14754098360655737,0.6557377049180327,0.19672131147540983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6896175107389049,0.05441603817101562,0.8481691646164639,0.26893678176049296,0.13703664520087802,-0.1769222714222682,-0.17106925739271994,0.06551855445202179,-0.48362791757386875,0.23957584589958184,0.6442897063860484,-0.06858901045578909,0.11063337590663644,0.0956881500814521,48,35-54,1.0857611670199434,-0.18562693559964766,-0.28555419201119153,-0.18032786885245902,-0.2786885245901639,0.5857285045660984,0.5694264726406862,0.927030525200066,0.9407410409900604,0.2449305759054907,0.2465139080941887,1.0,1.0,-0.6612822894540328,0.8251053109648895,0.1714470517050002,0.7520120975306225,0.03278688524590164,-2.764213114754098,1,0,1
MULTICENTRUM,-0.4178837908686677,-3.517451612903226,0.07091115892040484,0.9523396419045013,0.2721988635469681,0.31687122722261446,0.12980220688571836,0.19941186749285503,Femmina,1,0.6774193548387096,0.3225806451612903,0.8387096774193549,0.06451612903225806,0.12903225806451613,0.6129032258064516,0.03225806451612903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.525126956384454,-0.529968357306483,0.3987898183946648,-0.34351021531306314,-0.21784564194789793,0.07395103315270751,0.8551840497558529,0.0010331187741952003,0.7249958823673586,-0.13603437976946878,0.509418208043902,0.5167481297006512,0.25812460864073294,-0.012945565365036198,48,35-54,-0.8003988817154126,0.23073755347011837,0.2378111710930072,-0.2903225806451613,-0.2903225806451613,0.6730799888911235,0.6547771400482816,0.9363598144514956,0.9478954232541804,0.2848073807054476,0.5415601859962124,4.0,1.0,-0.13036676630868604,0.3080849669748415,0.021830147973059506,-0.2596376234761653,-0.06451612903225806,-1.1125806451612903,1,0,1
COCA COLA,0.2833123843924258,-2.2143442622950817,-0.02978313891801668,-0.2900625358972876,0.10108846579993618,-0.05789707031188866,-0.0982405902226404,-0.06512428618173544,Maschio,1,0.7868852459016393,0.7868852459016393,0.9344262295081968,0.639344262295082,0.0,0.5245901639344263,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.34326050871474595,0.6322478987553686,-0.9606066847609387,0.08471920525316733,-0.4325271890400871,-0.3182447907185727,-0.2706884249527264,0.300972648675378,-0.5290517852314591,0.14473141700068248,-0.4649193883737899,0.4190108375838504,0.6377313258698984,0.045084476714588456,34,18-34,0.836822793938139,-0.30030917970825216,-0.3805385077151322,-0.2459016393442623,-0.3442622950819672,0.4503299601582416,0.3044501573315871,0.5956719669744486,0.7864596877748531,0.2967956237053963,0.2682723650049226,5.0,1.0,0.32513570632016325,-0.2951609784021136,0.04362831204082994,0.6532928482036591,-0.13114754098360656,-1.5596885245901637,0,0,0
AMAZON,0.1499396824859214,-2.8951147540983606,0.3022558221141587,-0.10954577993544695,-0.15432138296170908,0.011866462875363974,0.36390897106726455,-0.07456922166413411,Maschio,1,0.7377049180327869,0.13114754098360656,0.8524590163934426,0.6229508196721312,0.0,0.4426229508196721,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0912055341850861,0.23080999415901368,-0.3348559774101785,-0.30195885339619,-0.3513461645269166,-0.19772789613184455,0.09377080846483564,0.172357244792984,-0.0390757319900273,0.6897764785403403,-0.5449661565998274,-0.8313761687128352,2.3317914045202883,0.006132716455815539,26,18-34,-1.1419132833180081,0.613565118034782,0.3646455534451,-0.5409836065573771,-0.3114754098360656,0.4263862999498314,0.1861169749737193,0.6621151654668225,0.8618571581985202,0.1922728029706797,0.2295693981394157,2.0,0.0,-0.042757234840766205,0.05210514907368157,0.043744868930433015,-0.15619007767203175,-0.06557377049180328,-0.5562131147540984,0,0,1
CHANEL,0.24235849294366732,-0.781606557377049,0.2868743356101992,-0.5299781878298959,-0.0695376520104173,-0.004656089790664555,-0.06231576703461848,0.002973157080055136,Maschio,1,0.5901639344262295,0.08196721311475409,0.8852459016393442,0.47540983606557374,0.01639344262295082,0.3770491803278688,0.01639344262295082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9518002777418425,-0.1371256685065588,0.02986894122716532,-0.3463141533707694,-0.45601102421863887,-0.003395454906443353,-0.3572044861975929,-0.4228458667817524,-0.8151803677993865,-0.39147313125005584,-0.2447247864695239,0.47326583062006644,0.5731111763911627,0.04750458151101388,26,18-34,1.284152931205226,-0.334948443919353,-0.37742001830227556,-0.3442622950819672,-0.3770491803278688,0.443756639980263,0.2306005903341575,0.7006363662643668,0.8279632253731635,0.2812597226912681,0.1783232952383595,4.0,0.0,-0.029006317306773475,0.007521599431793625,-0.04288476825213057,0.0620649011238618,-0.08196721311475409,-0.11383606557377045,0,0,1
