ID,Protocol,Vision
s1116,YouTube,1
s1118,VOD,1
s1119,YouTube,1
s1120,VOD,1
s1122,VOD,1
s1123,VOD,1
s1124,VOD,1
s1126,YouTube,1
s1127,YouTube,1
s1128,VOD,1
s1129,YouTube,1
s1130,VOD,1
s1133,YouTube,1
s1134,YouTube,1
s1135,VOD,1
s1136,YouTube,1
s1137,VOD,1
s1138,VOD,1
s1139,VOD,1
s1141,YouTube,1
s1142,VOD,1
s1143,VOD,1
s1144,VOD,1
s1145,VOD,1
s1146,YouTube,1
s1147,YouTube,1
s1148,VOD,1
s1149,YouTube,1
s1151,YouTube,1
s1152,VOD,1
s1153,YouTube,1
s1154,YouTube,1
s1155,VOD,1
s1156,YouTube,1
s1157,VOD,1
s1159,VOD,1
s1160,VOD,1
s1161,YouTube,1
s1162,YouTube,1
s1163,VOD,1
s1165,YouTube,1
s1166,YouTube,1
s1167,YouTube,1
s1168,YouTube,1
s1169,VOD,1
s1171,VOD,1
s1172,YouTube,1
s1173,YouTube,1
s1174,VOD,1
s1175,VOD,1
s1176,YouTube,1
s1178,YouTube,1
s1181,VOD,1
s1182,YouTube,1
s1185,YouTube,1
s1186,YouTube,1
s1187,VOD,1
s1188,VOD,1
s1189,YouTube,1
s1190,VOD,1
s1191,VOD,1
s1192,VOD,1
s1193,VOD,1
s1194,YouTube,1
s1195,YouTube,1
s1196,YouTube,1
s1198,YouTube,1
s1199,YouTube,1
s1200,VOD,1
s1201,VOD,1
s1202,YouTube,1
s1203,YouTube,1
s1204,YouTube,1
s1205,YouTube,1
s1206,YouTube,1
s1207,YouTube,1
s1208,YouTube,1
s1209,YouTube,1
s1210,YouTube,1
s1211,VOD,1
s1212,VOD,1
s1213,VOD,1
s1214,VOD,1
s1215,VOD,1
s1216,YouTube,1
s1217,YouTube,1
s1219,YouTube,1
s1221,YouTube,1
s1222,VOD,1
s1223,YouTube,1
s1224,VOD,1
s1337,VOD,1
s1326,YouTube,1
s1225,YouTube,1
s1226,VOD,1
s1227,YouTube,1
s1228,YouTube,1
s1229,VOD,1
s1230,YouTube,1
s1232,VOD,1
s1233,VOD,1
s1234,YouTube,1
s1235,VOD,1
s1236,VOD,1
s1237,YouTube,1
s1238,VOD,1
s1240,YouTube,1
s1241,VOD,1
s1242,YouTube,1
s1243,YouTube,1
s1244,YouTube,1
s1245,VOD,1
s1246,YouTube,1
s1247,YouTube,1
s1248,VOD,1
s1249,VOD,1
s1328,YouTube,1
s1329,YouTube,1
s1330,VOD,1
s1250,YouTube,1
s1251,VOD,1
